Amsterdam;Athènes;Berlin;Bruxelles;Budapest;Copenhague;Dublin;Helsinki;Kiev;Cracovie;Lisbonne;Londres;Madrid;Minsk;Moscou;Oslo;Paris;Prague;Reykjavik;Rome;Sarajevo;Sofia;Stockholm;Anvers;Barcelone;Bordeaux;Edimbourg;Francfort;Genève;Gènes;Milan;Palerme;Séville;St. Pétersbourg;Zurich
2.9;9.1;-0.2;3.3;-1.1;-0.4;4.8;-5.8;-5.9;-3.7;10.5;3.4;5;-6.9;-9.3;-4.3;3.7;-1.3;-0.3;7.1;-1.4;-1.7;-3.5;3.1;9.1;5.6;2.9;0.2;0.1;8.7;1.1;10.5;10.7;-8.2;-0.7
2.5;9.7;0.1;3.3;0.8;-0.4;5;-6.2;-5;-2;11.3;4.2;6.6;-6.2;-7.6;-3.8;3.7;0.2;0.1;8.2;0.8;0.2;-3.5;2.9;10.3;6.7;3.6;1.8;1.9;8.7;3.6;11.5;11.8;-7.9;0.7
5.7;11.7;4.4;6.7;5.5;1.3;5.9;-2.7;-0.3;1.9;12.8;5.5;9.4;-1.9;-2;-0.6;7.3;3.6;0.8;10.5;4.9;4.3;-1.3;6.2;11.8;9;4.7;5.4;5.1;11.4;8;13.3;14.1;-3.7;4.3
8.2;15.4;8.2;8.9;11.6;5.8;7.8;3.1;7.4;7.9;14.5;8.3;12.2;5.4;6;4.4;9.7;8.8;2.9;13.7;9.3;9.7;3.5;8.9;14.1;11.9;7.1;9.7;9.4;13.8;12.6;16.9;16.1;3.2;8.5
12.5;20.1;13.8;12.8;17;11.1;10.4;10.2;14.3;13.2;16.7;11.9;16;12.4;13;10.3;13.7;14.3;6.5;17.8;13.8;14.3;9.2;12.9;17.4;15;9.9;14.3;13.8;17.5;17.3;20.9;19.7;10;12.9
14.8;24.5;16;15.6;20.2;15.4;13.3;14;17.8;16.9;19.4;15.1;20.8;15.9;16.6;14.9;16.5;17.6;9.3;21.7;17;17.7;14.6;15.5;21.2;18.3;13;17.5;17.3;21;21.3;23.8;23.4;15.4;16.2
17.1;27.4;18.3;17.8;22;17.1;15;17.2;19.4;18.4;21.5;16.9;24.7;17.4;18.3;16.9;19;19.3;11.1;24.4;18.9;20;17.2;17.9;24.2;20.4;14.7;19;19.4;24.5;23.8;24.5;26.7;18.4;18
17.1;27.2;18;17.8;21.3;16.6;14.6;14.9;18.5;17.6;21.9;16.5;24.3;16.3;16.7;15.4;18.7;18.7;10.6;24.1;18.7;19.5;16;17.6;24.1;20;14.3;18.3;18.5;24.6;22.8;22.3;26.7;16.9;17.2
14.5;23.8;14.4;15;16.9;13.3;12.7;9.7;13.7;13.7;20.4;14;19.8;11.6;11.2;11.1;16.1;14.9;7.9;20.9;15.2;15.8;11.7;14.7;21.7;17.6;12.1;14.8;15;21.8;18.9;22.3;24.3;11.5;14.1
11.4;19.2;10;11.1;11.3;8.8;9.7;5.2;7.5;8.6;17.4;10.2;13.9;5.8;5.1;5.7;12.5;9.4;4.5;16.5;10.5;10.7;6.5;11.5;17.5;13.5;8.7;9.8;9.8;17.8;13.1;18.4;19.4;5.2;8.9
7;14.6;4.2;6.7;5.1;4.1;6.7;0.1;1.2;2.6;13.7;6.3;8.7;0.1;-1.1;0.5;7.3;3.8;1.7;11.7;5.1;5;1.7;6.8;13.1;8.5;5.3;4.9;4.9;12.2;6.9;14.9;14.5;-0.4;3.9
4.4;11;1.2;4.4;0.7;1.3;5.4;-2.3;-3.6;-1.7;11.1;4.4;5.4;-4.2;-6;-2.9;5.2;0.3;0.2;8.3;0.8;0.6;-1.6;4.7;10;6.1;3.7;1.7;1.4;10;2.6;12;11.2;-5.3;0.3
